id,messages,result_1,result_2
62,"Извиняюсь за столь поздний вопрос, но можно ли взять интервью, в котором 2 человека, но задающего вопросы не видно?",NEUT,PSTV

63,*2 человека отвечают на вопросы,NEUT,NEUT

64,а эти два человека как-то взаимодействуют друг с другом или отвечают независимо?,NEUT,PSTV

65,Взаимодействуют,PSTV,PSTV

66,тогда давайте,NEUT,NEUT

67,Спасибо,NEUT,NEUT

68,"Пока я не забыла вопроса: если речь о семинаре во вторник, то ссылка будет та же, что и на лекцию. Просто оставайтесь в зуме. Если кто-то из 203 группы не может в среду на шестой паре на Басманной, подключайтесь к онлайн-семинару во вторник.",NEUT,PSTV

69,"Нет, 203, У нас же будет семинар в среду 6-ой парой?",NEUT,NEUT

70,Ответила выше,NEUT,NEUT

71,Но в среду будет тоже онлайн?,NEUT,NEUT

72,"нет, в среду в аудитории",NEUT,NEUT

73,Будет ли производиться запись семинара во вторник?,NEUT,NEUT

74,"Да, будет. Выложу ссылку в LMS",NEUT,NEUT

75,"Хорошо, большое спасибо!",NEUT,NEUT

76,"Добрый день! У нас начинается лекция, но я никого не вижу",NEUT,PSTV

77,Нас уже 62 человека собралось,NEUT,NEUT

78,Здравствуйте! А какая ссылка? Нас 65 человек в конференции по старой ссылке (с прошлой лекции).,NEUT,NEUT

79,"Офис и тут отличился? Пойду посмотрю, какую ссылку вам дали",NEUT,NEUT

80,"нам дали ссылку без кода доступа, который она просит",NEUT,NEUT

81,"Придите, пожалуйста, сюда Школа лингвистики is inviting you to a scheduled Zoom meeting.<br><br> <br><br>Topic: Linguistic Data BA 1st year<br><br>Time: Sep 29, 2020 09:30 AM Moscow<br><br> <br><br>Join Zoom Meeting<br><br><a href=""https://zoom.us/j/94311654672?pwd=SlVmNkZmNFpYUERGVkdWVUxuTn"">https://zoom.us/j/94311654672?pwd=SlVmNkZmNFpYUERGVkdWVUxuTn</a>…<br><br> <br><br>Meeting ID: 943 1165 4672<br><br>Passcode: 181114",NEUT,NEUT

82,Спасибо!,NEUT,NEUT

83,А посещаемость как-то учитывается? Можно я буду смотреть лекцию вместе с соседкой по комнате с ее аккаунта?,NEUT,PSTV

84,"В этом году я отменила оценку за посещаемость, потому что непонятно, как учитывать много факторов. Тем более что в зуме её легко симулировать <a href=""https://images.app.goo.gl/ZPGQYrGb7whcrUjz7"">https://images.app.goo.gl/ZPGQYrGb7whcrUjz7</a>",NEUT,NGTV

85,"добрый вечер, вот ссылка на сегодняшнюю лекцию и семинар <a href=""https://zoom.us/rec/share/JLfxMN1C-snCxlrnUZUasExjI0xcZh3yqqo6q2Zh3uk-MrDhKdu5BqPRqqYN5UjL.rWLLUcSfFgXlUEMF"">https://zoom.us/rec/share/JLfxMN1C-snCxlrnUZUasExjI0xcZh3yqqo6q2Zh3uk-MrDhKdu5BqPRqqYN5UjL.rWLLUcSfFgXlUEMF</a><br>Access Passcode: 6*cX4siS",NEUT,PSTV

86,"ссылка на Лекцию 1 Лингвистические ресурсы <a href=""https://zoom.us/rec/share/hL4a41QDzi_y-rWr359gSwW9Tqns50zYtR_55_bQnGvEEMdLr2-M3Hzaa8yeGJw.V104s298uBBRJvKV"">https://zoom.us/rec/share/hL4a41QDzi_y-rWr359gSwW9Tqns50zYtR_55_bQnGvEEMdLr2-M3Hzaa8yeGJw.V104s298uBBRJvKV</a><br>Access Passcode: 6A2B%Dk1",NEUT,PSTV

87,"Всем добрый вечер!<br>Дорогие 201 и 202 группы, завтра вам для работы на семинарах понадобится программа ELAN. Скачайте ее, пожалуйста, себе заранее, чтобы завтра не тратить на это время от семинара. Скачать можно <a href=""https://archive.mpi.nl/tla/elan/download"">вот отсюда</a> (ELAN 5.9), а еще файлы Example set (три файла): <a href=""http://www.mpi.nl/tools/elan/elan-example3.eaf"">Annotation</a>, <a href=""http://www.mpi.nl/tools/elan/elan-example1.mpg"">Video</a>, <a href=""http://www.mpi.nl/tools/elan/elan-example1.wav"">Audio<br><br></a>Если у вас Linux, также нужно будет установить плеер VLC (лучше <em>не</em> через snap) и библиотеку libvlc-dev",NEUT,PSTV

88,Если работаешь на Вышкинских компьютерах?..,NEUT,PSTV

89,"То ELAN там будет, что не хватит, скачаем",NEUT,NEUT

90,Спасибо,NEUT,NEUT

91,"Простите за беспокойство, а наша цель, для которой мы выбираем интервью, это понять как устроена спонтанная речь или понять, как происходит коммуникация при диалоге? Что из этого приоритетнее?",NEUT,PSTV

92,Завтра у 202 не стоит семинар в расписании,NEUT,NEUT

93,"Хм, в РУЗовском расписании Ольги Николаевны вы стоите на 5-ой паре <br><a href=""https://t.me/olesar"">@olesar</a>",NEUT,NEUT

94,"Разумно здесь обсудить завтрашнее расписание, потому что в РУЗ у ваших групп оно по-прежнему не отображается. А мне не хочется снова приезжать просто так:)",NEUT,NEUT

95,Группа 201 - 13:00 (3 пара). Подтверждаете?,NEUT,PSTV

96,Группа 202 - 16.20 (5 пара). Подтвержаете?,NEUT,NEUT

97,Подтверждаем,PSTV,PSTV

98,Группа 203 - 18.10 (6 пара),NEUT,NEUT

99,подтверждаем,PSTV,PSTV

100,подтверждаем,PSTV,PSTV

101,"Есть ли еще у кого-то в расписании другие мои пары, про которые я  не знаю?",NEUT,PSTV

102,"Скажите пожалуйста, если в моем видео я выбрала не один 5+минутный фрагмент, а три фрагмента где-то по две минуты, такое видео не подойдет и надо искать другое, или можно оставить?",NEUT,NEUT

103,"добрый вечер! в задании написано, что лучше стараться обойтись без этого, но если это будет единичная такая запись во всем корпусе, то ничего страшного",NEUT,PSTV

104,"а ее нужно будет как-то монтировать (с этим проблем нет, просто чтоб знать)",NEUT,NGTV

105,"нет, все строится на временных метках, которые привязаны к таймингу на ютьюбе",NEUT,NEUT

106,"понятно, спасибо",NEUT,NEUT

107,"Добрый день, у группы 203 офис предлагает перенести занятия по Линг данным сегодня с 6 пары на 4-ю (13:20), ауд. 509. Есть возражения?",NEUT,PSTV

108,Четвёртой парой у нас французский,NEUT,NEUT

109,"Хорошо, остаемся на 6-ой",NEUT,NEUT

110,А тогда 202 группа хочет на 4ю пару вместо 5-ой?,NEUT,NEUT

111,да,NEUT,NEUT

112,да,NEUT,NEUT

113,"202 в 14:40 в 509, офис подтвердил",NEUT,NEUT

114,203 в 18.10 в 401 ауд,NEUT,NEUT

115,"Добрый день. Можно ли использовать видео, где задаёт вопросы человек за кадром (то есть нет мимики и жестов), а отвечают два человека (сидят рядом и взаимодействуют)",NEUT,PSTV

116,"Если вопросы задаются голосом, то да. В метаданных укажите полилог",NEUT,NEUT

117,спасибо,NEUT,NEUT

118,"там же написано, что тип коммуникации и длину разметки не нужно заполнять",NEUT,NEUT

119,"Это если у вас стандартный диалог, то тип в табличке так и будет указан. А здесь поменяйте",NEUT,NEUT

120,"Дорогие все, сегодняшние семинары будут проходить на Басманной. Однако, учитывая ситуацию, если вы не имеете физической возможности быть на Басманной или если вам нужно показать свой экран преподавателю, вот ссылка на Zoom  (на все пары)<br><a href=""https://zoom.us/j/93352941438?pwd=aDk5SnV3aWR5a0V2eFRUR0RZdXFtdz09"">https://zoom.us/j/93352941438?pwd=aDk5SnV3aWR5a0V2eFRUR0RZdXFtdz09</a><br><br>Meeting ID: 933 5294 1438<br>Passcode: 859919",NEUT,PSTV

121,"Извините, а пара ведь в 13:00 должна была начаться, да?<br>или в рузе что-то неправильно написано?",NEUT,PSTV

122,"Ребят, а можно пожалуйста ссылки на ассистентов кинуть,  не вижу здесь сообщение с этим",NEUT,PSTV

123,"Я один из ассистентов, и еще Катя <a href=""https://t.me/kattynatty"">@kattynatty</a>",NEUT,NEUT

124,"Оу, спасибо большое",NEUT,NEUT

125,"<a href=""https://t.me/George1337"">@George1337</a> Аня Яблонская",NEUT,NEUT

126,"Дорогие студенты!<br>Если кто-то из вас еще не заполнил <a href=""https://docs.google.com/forms/d/e/1FAIpQLSfPXxTbTBxzONsXdGUGrK3idDYuH6Vi0LeOYoCncCRJhbsatw/viewform"">вот эту анкету</a>, то очень просим сделать это как можно скорее, чтобы мы могли найти ваш гитхаб и проверить работы.",NEUT,PSTV

127,"<a href=""https://t.me/olesar"">@olesar</a> Ольга Николаевна, здравствуйте, подскажите, пожалуйста, можно ли взять интервью с носителем русского языка, но билингвом?",NEUT,PSTV

128,"Вроде как говорили, что можно, но надо, чтобы человек говорил именно на русском",NEUT,NEUT

129,"Обрый день! Билингвы бывают разные. Если русский у него как родной и говорит по-русски, то можно",NEUT,NEUT

130,"Да, я это имела в виду, спасибо)",NEUT,NEUT

131,"Добрый вечер! Скажите пожалуйста, если интервью прерывается кадрами из фильма (само интервью целостное, фрагменты фильма вставлены для иллюстрации), что можно с этим сделать? (Оформление в таблице, выполнение задания). Или такое видео брать нельзя?",NEUT,PSTV

132,"Подскажите, пожалуйста, стоит писать &quot;мгм&quot; как реплики?",NEUT,PSTV

133,да,NEUT,NEUT

134,"Добрый вечер, если у вас получается два фрагмента для разметки, то в таблицу впишите, пожалуйста, два комплекта строчек со своим временем начала разметки в каждом (т.е. метаинформация про говорящих дублируется). Если таких фрагментов получается больше двух, не берите, пожалуйста",NEUT,PSTV

135,Спасибо!,NEUT,NEUT

136,"Дорогие студенты! <br>В <a href=""https://docs.google.com/spreadsheets/d/15elyrE9USSrqbFAdlrMVTICUtFA9d7BYM4UWiaRYNE8/edit#gid=0"">таблице</a> появились оценки за домашние работы.",NEUT,PSTV

137,Доброе утро!<br>А что значит &quot;не нашла ссылку на гитхаб&quot;? Что делать в этом случае?,NEUT,PSTV

138,"Добрый день, если анкету заполнили, а, обкачивая ваши репозитории, мы ничего там не нашли, то напишите Кате и Ане",NEUT,PSTV

139,"Хорошо, спасибо",NEUT,NEUT

140,Добрый день! Оценки за дз окончательные?,NEUT,PSTV

141,"Добрый день, Юлия, оценки за это задание окончательные, комментарии помогут вам сделать лучше следующие задания",NEUT,PSTV

142,"Ясно, спасибо!",NEUT,NEUT

143,А сколько будет домашних заданий в этом модуле?,NEUT,PSTV

144,"Добрый день, Екатерина, еще одна домашка. Но накоп будет считаться по двум модулям, сейчас жду подтверждения от офиса на этот счет.",NEUT,PSTV

145,а где надо было писать информацию об интервьюере? там разве есть такой столбик в таблице?...,NEUT,NEUT

146,"там же, где и говорящий, на каждого человека, который говорит надо было заполнять отдельную строку с информацией; в примерах заполнено по две строки — одна для интервьюера, вторая для интервьюируемого",NEUT,NEUT

147,"Дорогие кураторы, добрый вечер!<br>Если знаете, подскажите, пожалуйста, когда у группы БКЛ203 дедлайн по домашке: сегодня в 22:00 или завтра в то же время?",NEUT,PSTV

148,"Возникли недопонимая, тк на первых занятиях говорили, что вообще дедлайны ставятся накануне следующего семинара",NEUT,PSTV

149,"Добрый день! На прошлом семинаре я уточняла, что в пятницу 22:00",NEUT,PSTV

150,"Хорошо, спасибо!",NEUT,NEUT

151,А дедлайн по разметке интервью в воскресенье или вечером перед семинаром? 201,NEUT,NEUT

152,"<strong>Важная информация</strong> офис подтвердил, что экзамен по Лингвистическим данным перенесён на декабрь, будет в сессию 2 модуля. Накоп будет считаться по двум модулям. Темой экзамена будет групповой проект по анализу корпусных данных, задание обсудим в начале декабря",NEUT,NEUT

153,"Соня, я жду звонка от Яны из офиса, смогу тогда ответить",NEUT,PSTV

154,Спасибо),NEUT,NEUT

155,"Здравствуйте, скажите пожалуйста куда нужно было послать ссылку на гитхаб-страницу, потому что я заполняла и опрос и таблицу, но в графе домашнее задание 2 указано, что нет моей страницы, возможно я по невнимательности что-то не заполнила?",NEUT,PSTV

156,"Добрый день, попробуйте заполнить еще раз форму и продублируйте ссылку на гитхаб в лс мне или <a href=""https://t.me/George1337"">@George1337</a>",NEUT,PSTV

157,Здравствуйте! А сколько времени интервью размечать? 201 группа,NEUT,NEUT

158,5 минут вроде говорили,NEUT,NEUT

159,"Здравствуйте, внизу страницы курса есть список домашек, посмотрите там по ссылке. (Тизер: не меньше 5, не больше 10)",NEUT,NEUT

160,"А будет страшно, если в кадре курится сигарета во время интервью?",NEUT,NEUT

161,"Не страшно, я думаю",NEUT,PSTV

162,"Подскажите, информации еще нет..?",NEUT,PSTV

163,"Извините за позднее предупреждение,  завтрашней пары в 9.30 не будет, её перенесли на следующую неделю",NEUT,PSTV

164,"уточняю)<br>204<br>на данный момент от нас требуется только дз html, у которого дедлайн в это воскресенье, так?",NEUT,NEUT

165,"Я собираю брать интервью из выпуска Вечернего Урганта, при разметке дальнейшей можно же не учитывать смех, аплодисменты и тп зала?",NEUT,PSTV

166,"У меня для 204 записан дедлайн аж вторник 13, поправьте меня, если это не так",NEUT,PSTV

167,"Да, вроде вторник) 23:59 же или 10 вечера, как было в прошлый раз?",NEUT,NEUT

168,22:00 - это остаётся неизменным,NEUT,NEUT

169,"201 группа, вам перенесли семинар на вторник в Зум из-за конфликтов в расписании, я предлагаю оставить срок домашки до вторника же 22:00. Согласны?",NEUT,PSTV

170,"Да, хорошо",NEUT,NEUT

171,"Здравствуйте,<br>Если у меня есть вопросы по определению частей речи, мне лучше их все и каждый сюда задавать, или на семинаре?",NEUT,PSTV

172,Отвечу в личку,NEUT,NEUT

173,Определением частей речи мы будем заниматься на следующем семинаре,NEUT,NEUT

174,"Подскажите, если говорящий человек ошибся в составлении предложения («мне очень много мучает вопросов» вместе «меня мучает»), это так и вписывать или это считается тоже речевым как «што»?",NEUT,PSTV

175,"Добрый день, очень хороший вопрос, спасибо! Все словоформы пишутся именно в тех падежах, как их произносит говорящий. Мена винительного и дательного падежа - характерная черта спонтанной речи (и, кстати, есть другие славянские языки, где это ошибкой не будет)",NEUT,PSTV

176,"То есть так и записывать, мне?",NEUT,NEUT

177,"И еще один вопрос: говорящий человек очень конкретно в разных ситуациях говорит «что», «чё» и «шо», это очень хорошо слышится — их все выделять всё равно как «что»?",NEUT,NEUT

178,"Добрый день! Подскажите, пожалуйста: если в интервью появляется третий человек, который не говорит больше 7ми слов подряд, но к нему так или иначе обращается говорящий, и он появляется в кадре, включать ли его в разметку?",NEUT,PSTV

179,"Если это местоимение, то все как &quot;что&quot; - так пользователю будет легче найти все варианты. Если частица, например, слово-предложение Шо?!, то на ваше усмотрение",NEUT,PSTV

180,"Вообще на слух это просто звучит как что-то преднамеренное, а не случайное",NEUT,PSTV

181,"Добрый день, если вы собираетесь размечать жесты этого третьего человека, то добавьте. Иначе не надо",NEUT,PSTV

182,"Ну, у вас есть возможность трактовать это как языковую маску (например, имитация одесского говора). Просто помните, что найти в корпусе много разных вариантов сложнее, чем один",NEUT,PSTV

183,<pre>мне</pre>,NEUT,NEUT

184,"Нужно ли прописывать смешки? Если да, то как речь или как жест?",NEUT,NEUT

185,"Добрый день, скажите пожалуйста, как отмечать у человека заикания (их довольно много)?",NEUT,PSTV

186,к... как за... заикания,NGTV,NGTV

187,"Прямо там где фразы, или отдельные слова?",NEUT,NEUT

188,"Прямо там, где фразы",NEUT,NEUT

189,"Хорошо, спасибо",NEUT,NEUT

190,"На уровне слов должны получиться токены: к..., как, за..., заикания",NEUT,PSTV

191,Поняла,PSTV,PSTV

192,На уровне токенов должны быть многоточия?,NEUT,NEUT

193,У заиканий,NGTV,NGTV

194,"Да, иначе мы не отличим их от предлогов",NEUT,NEUT

195,"А если нет информации про интервьюера нет, какой ему делать ник?",NEUT,NEUT

196,"Условный, например, латинскими xxx",NEUT,NEUT

197,Если говорящий берет вдох посередине предложения мы разбиваем реплику на две или оставляем одну?,NEUT,PSTV

198,"Говорящие могут брать вдох посередине реплики. Оставьте одну, пожалуйста, если в остальном вам интуитивно кажется, что это одна реплика",NEUT,PSTV

199,"а насколько длинной можно делать фразу? если человек говорит несколько предложений без длинных пауз, можно их написать в одном окошке?",NEUT,NEUT

200,"Добрый день, лучше несколько",NEUT,PSTV

201,спасибо,NEUT,NEUT

202,"Простите, пожалуйста, что у меня сегодня столько вопросов, но я надеюсь это последние 2: во-первых, можно ли в елане как-то поменять кавычки с лапок на елочки (у меня респондент гпередает прямую речь, внутри которой слово в кавычках и их хочется как-то разделить), и во-вторых, есть ли принципиальная разница в количестве &quot;заикающихся&quot; символов в &quot;заикающемся слове&quot; (то есть респондент очень сильно заикается и я хочу показать, что иногда он говорит: &quot;с...сказать&quot;, а иногда - &quot;ссссс...сказать&quot;, могу ли я так сделать, или все заикания только тремя буквами перед многоточием: ссс...сказать)?",NEUT,PSTV

203,"1) можно использовать любые кавычки, используйте копипейст, если не знаете, как их вставить с клавиатуры",NEUT,PSTV

204,"2) я бы не использовала удлинение типа сссссс... потому что а) задача корпуса все же иная и б) трудно унифицировать разметку разных студентов, кто каким количеством букв обозначает растянутые шипящие",NEUT,NEUT

205,"я поняла, спасибо",NEUT,PSTV

206,"извините, если этот вопрос уже задавали, а как разметить места, где говорящий тянет &quot;э&quot;, когда думает, что сказать?",NEUT,PSTV

207,эээ,NEUT,NEUT

208,А пропускать такие &quot;ээээ&quot; нельзя?,NEUT,NGTV

209,Никак нельзя:),NEUT,NEUT

210,"добрый вечер, надо/можно ли как-то расшифровать вдохи/выдохи говорящего? (когда это слышно)",NEUT,PSTV

211,и как их записывать? *выдох*?,NEUT,NEUT

212,"ой, и что делать, если, например, люди перебивают друг друга, и непонятно, что один из них говорт? можно написать что-то вроде *неразборчиво*? или просто пропустить?",NEUT,PSTV

213,Об этом написано на сайте в конспекте дз3,NEUT,NEUT

214,"Вроде нет, но лучше давайте подождём уточнения <a href=""https://t.me/olesar"">@olesar</a>",NEUT,PSTV

215,"Вдохи не нужно, в том числе шумные",NEUT,PSTV

216,Про это точно написано в домашке:),NEUT,NEUT

217,"хорошо, спасибо!",NEUT,NEUT

218,можете ещё раз пожалуйста повторить чем различаются / и // в разметке?,NEUT,PSTV

219,"я еще хочу спросить: можно каким-то образом выделить если человек шепотом говорит про себя, но при этом слышно, что говорит?",NEUT,NEUT

220,"// соответствует концу предложения, / - запятой",NEUT,NEUT

221,"Нет, это выделять не нужно",NEUT,NEUT

222,спасибо большое!,NEUT,NEUT

223,а если человек делает паузы между словами но пунктуационно это не будет выделяться запятыми то ставить /?<br>и обратный вопрос <br>если запятыми на письме выделяется но человек не делает в речи пауз в том месте?,NEUT,NEUT

224,"и что делать, если на письме должно стоять тире? (в речи не особо выделяется)",NEUT,NEUT

225,а если человек вставляет цитату вроде «ну я ей пишу: «Что ты такая грустная?» нужно это выделять?,NEUT,NGTV

226,Блин. А если уже все написал с обычными запятыми и точками? Добавлять в слой words / и //?,NEUT,NEUT

227,"Если человек говорит медленно, с характерными пауза и между каждой парой слов, то давайте считать это индивидуальной особенностью речи и / не ставить. Иными словами, паузы должны определяться относительно темпа речи и других физиологических особенностей каждого говорящего, а не вообще",NEUT,PSTV

228,"Если паузы нет, то / ставить не нужно (например, перед причастным оборотом, где надо было бы поставить запятую)",NEUT,NEUT

229,"Опять же, если в речи не выделяется паузой место, где по правилам пунктуации полагалось бы тире, то не ставьте /",NEUT,PSTV

230,"Нет, прямую речь никак помечать не нужно",NEUT,NEUT

231,спасибо,NEUT,NEUT

232,"Это ошибка. Поищите, наверняка в ELAN есть функция &quot;найти и заменить&quot;",NEUT,NGTV

233,"Я правильно понимаю, что на уровне токенов паузы размечать уже не нужно?",NEUT,PSTV

234,"Поисковая платформа tsakorpus, куда мы планируем разместить данные, учитывает знаки препинания как токены и умеет по ним искать. Это может быть также важно для автоматической разметки синтаксиса и морфологии",NEUT,PSTV

235,"Пожалуйста, впишите / в набор знаков препинания при токенизации реплик",NEUT,NEUT

236,"То есть, у нас должны быть / где человек делает паузы или где пунктуационно запятые?",NEUT,NEUT

237,Где паузы,NEUT,NEUT

238,И мы должны все писать с маленькой буквы?,NEUT,NEUT

239,"Да, за исключением имён собственных и аббревиатур",NEUT,NEUT

240,"Еще: знаки вопроса, точки и восклицательные знаки все писать //?",NEUT,NEUT

241,И эти / выделять как отдельные токены или вместе с предыдущим словом?,NEUT,PSTV

242,"Можно я еще уточню? Предложение должно выглядеть примерно так?<br><br>speech Знаете, это как будто эээ... не... невежливо, по-моему.<br><br>words знаете | / | это | как | будто | эээ | не... | невежливо | по-моему<br><br>(Таким | я разделяла токены)",NEUT,PSTV

243,Для вопросительной и восклицательной интонации пишем ? или ! соответственно,NEUT,NEUT

244,"Друзья, посмотрите, пожалуйста, пример в домашке, в конце там показана запись вопроса",NEUT,PSTV

245,"То есть,<br><br>speech знаете / это как будто эээ... не... невежливо / по-моему //<br><br>words знаете | это | как | будто | эээ | не... | невежливо | по-моему<br><br>Так правильно?",NEUT,PSTV

246,"В записи реплики уберите многоточие после <code>эээ</code>, оно лишнее. Запятую и точку замените на / и //,  соответственно. Токенизация делается автоматически, укажите  / как знак препинания.",NEUT,NGTV

247,А точно перед/после эээ в вашей реплике нет паузы? Обычно она ожидается,NEUT,NEUT

248,"Подскажите, пожалуйста, если я в таблице, которую мы заполняли в качестве первого дз, указала 7 минут видео для разметки, то теперь я обязательно должна их сделать, или можно всё-таки от тех 7 минут взять 5?",NEUT,PSTV

249,"Если указывать как знак препинания, он их отдельными токенами выделяет. Так нужно?",NEUT,NEUT

250,"Обратите внимание, тогда мы просили не заполнять эту графу. При полной сдаче проекта мы попросим вас вставить там полное время разметки. 5 мин норм",NEUT,NEUT

251,Да,NEUT,NEUT

252,Спасибо!,NEUT,NEUT

253,"Здравствуйте, при автоматической токенизации знак // в конце фразы распадается на два отдельных  слеша, так и должно быть, или это ошибка автоматического разбиения, которую нужно вручную устранить?",NEUT,NGTV

254,"Извините, а как тогда потом по времени определить, сколько длится запятая, если человек не делает паузы?",NEUT,PSTV

255,"Подскажите, какой стереотип у типа words?<br>И страшно ли, если я создавала типы, а не импортировала...",NEUT,PSTV

256,"А что вы имеете в виду под &quot;сколько длится запятая&quot;?) <br>Если вы про знак <code>/</code> то он, в первую очередь, означает паузу, и если у вас там нет паузы между словами, то и <code>/</code> там быть не должно",NEUT,NEUT

