id,messages,result_1,result_2,result_3
47,"А можно спросить, в каком формате будет проходить завтра онлайн-пара? Что нам для нее потребуется?",0.07726315789473684,0.367,0.0
48,а когда пара у группы 201?<br>третья пара в среду?,0.025146153846153846,0.16344999999999998,0.0
49,"да, как на прошлой неделе. И так до конца первого модуля",-0.0025285714285714286,-0.0177,0.0
50,Первая пара завтра стоит,0.0,0.0,0.0
51,я про семинар,0.094025,0.3761,0.0
52,В рузе нет,0.0,0.0,0.0
53,"Может, потом добавят",0.19488,0.48719999999999997,0.6111
54,"офис говорит, проблемы с базой данных расписания, они ее починят и вы снова все увидите",0.054905555555555555,0.1235375,-0.01765
55,"204 группа: первый семинар будет завтра, вт, на второй паре  в зуме; 203 группа: в среду на 6-ой паре",0.030321739130434785,0.3487,0.0
56,У 203 группы только один раз шестой парой или так всегда будет??,0.04865333333333333,0.14596,0.0
57,"нет, только один раз, нам нужно восполнить пропавший сегодня семинар",0.005869230769230776,0.019075000000000022,-0.019499999999999962
58,"потерпите, пожалуйста)",-0.0383,-0.1532,0.0
59,"Хорошо, спасибо",0.0,0.0,0.0
60,"Здравствуйте, Ольга Николаевна! Можно будет на семинар по зуму подключиться?",0.0704,0.4928,0.0
61,"Добрый день, 204 группа?",0.16178571428571428,0.3775,1.0
62,"Извиняюсь за столь поздний вопрос, но можно ли взять интервью, в котором 2 человека, но задающего вопросы не видно?",0.09076666666666666,0.43568,0.9615
63,*2 человека отвечают на вопросы,0.1411,0.4233,0.0
64,а эти два человека как-то взаимодействуют друг с другом или отвечают независимо?,0.24477857142857143,0.68538,0.8601
65,Взаимодействуют,0.29015,0.5803,0.5803
66,тогда давайте,0.1416,0.4248,0.0
67,Спасибо,0.0,0.0,0.0
68,"Пока я не забыла вопроса: если речь о семинаре во вторник, то ссылка будет та же, что и на лекцию. Просто оставайтесь в зуме. Если кто-то из 203 группы не может в среду на шестой паре на Басманной, подключайтесь к онлайн-семинару во вторник.",0.055382,0.25173636363636365,0.22086666666666666
69,"Нет, 203, У нас же будет семинар в среду 6-ой парой?",0.04649333333333334,0.3487,0.0
70,Ответила выше,0.02563333333333333,0.0769,0.0
71,Но в среду будет тоже онлайн?,0.087175,0.3487,0.0
72,"нет, в среду в аудитории",0.05665714285714286,0.1983,0.0
73,Будет ли производиться запись семинара во вторник?,0.049711111111111116,0.4474,0.0
74,"Да, будет. Выложу ссылку в LMS",0.06716666666666667,0.30225,0.0
75,"Хорошо, большое спасибо!",0.04448333333333334,0.2669,0.0
76,"Добрый день! У нас начинается лекция, но я никого не вижу",0.19584285714285715,0.4569666666666667,0.7431666666666666
77,Нас уже 62 человека собралось,0.14701666666666666,0.44105,0.0
78,Здравствуйте! А какая ссылка? Нас 65 человек в конференции по старой ссылке (с прошлой лекции).,0.0315,0.14962499999999998,0.0
79,"Офис и тут отличился? Пойду посмотрю, какую ссылку вам дали",0.10687692307692308,0.27788,0.0
80,"нам дали ссылку без кода доступа, который она просит",0.09356363636363636,0.2573,0.0
81,"Придите, пожалуйста, сюда Школа лингвистики is inviting you to a scheduled Zoom meeting.<br><br> <br><br>Topic: Linguistic Data BA 1st year<br><br>Time: Sep 29, 2020 09:30 AM Moscow<br><br> <br><br>Join Zoom Meeting<br><br><a href=""https://zoom.us/j/94311654672?pwd=SlVmNkZmNFpYUERGVkdWVUxuTn"">https://zoom.us/j/94311654672?pwd=SlVmNkZmNFpYUERGVkdWVUxuTn</a>…<br><br> <br><br>Meeting ID: 943 1165 4672<br><br>Passcode: 181114",0.0050999999999999995,0.1581,0.0
82,Спасибо!,0.0,0.0,0.0
83,А посещаемость как-то учитывается? Можно я буду смотреть лекцию вместе с соседкой по комнате с ее аккаунта?,0.159555,0.3545666666666667,0.6166
84,"В этом году я отменила оценку за посещаемость, потому что непонятно, как учитывать много факторов. Тем более что в зуме её легко симулировать <a href=""https://images.app.goo.gl/ZPGQYrGb7whcrUjz7"">https://images.app.goo.gl/ZPGQYrGb7whcrUjz7</a>",0.016102857142857144,0.07045,-0.6163
85,"добрый вечер, вот ссылка на сегодняшнюю лекцию и семинар <a href=""https://zoom.us/rec/share/JLfxMN1C-snCxlrnUZUasExjI0xcZh3yqqo6q2Zh3uk-MrDhKdu5BqPRqqYN5UjL.rWLLUcSfFgXlUEMF"">https://zoom.us/rec/share/JLfxMN1C-snCxlrnUZUasExjI0xcZh3yqqo6q2Zh3uk-MrDhKdu5BqPRqqYN5UjL.rWLLUcSfFgXlUEMF</a><br>Access Passcode: 6*cX4siS",0.098035,0.490175,0.7866
86,"ссылка на Лекцию 1 Лингвистические ресурсы <a href=""https://zoom.us/rec/share/hL4a41QDzi_y-rWr359gSwW9Tqns50zYtR_55_bQnGvEEMdLr2-M3Hzaa8yeGJw.V104s298uBBRJvKV"">https://zoom.us/rec/share/hL4a41QDzi_y-rWr359gSwW9Tqns50zYtR_55_bQnGvEEMdLr2-M3Hzaa8yeGJw.V104s298uBBRJvKV</a><br>Access Passcode: 6A2B%Dk1",0.08355,0.3342,0.5732
87,"Всем добрый вечер!<br>Дорогие 201 и 202 группы, завтра вам для работы на семинарах понадобится программа ELAN. Скачайте ее, пожалуйста, себе заранее, чтобы завтра не тратить на это время от семинара. Скачать можно <a href=""https://archive.mpi.nl/tla/elan/download"">вот отсюда</a> (ELAN 5.9), а еще файлы Example set (три файла): <a href=""http://www.mpi.nl/tools/elan/elan-example3.eaf"">Annotation</a>, <a href=""http://www.mpi.nl/tools/elan/elan-example1.mpg"">Video</a>, <a href=""http://www.mpi.nl/tools/elan/elan-example1.wav"">Audio<br><br></a>Если у вас Linux, также нужно будет установить плеер VLC (лучше <em>не</em> через snap) и библиотеку libvlc-dev",0.05472903225806452,0.3181125,0.8034333333333333
88,Если работаешь на Вышкинских компьютерах?..,0.08737777777777778,0.3932,0.6
89,"То ELAN там будет, что не хватит, скачаем",0.04272727272727273,0.15666666666666668,0.0
90,Спасибо,0.0,0.0,0.0
91,"Простите за беспокойство, а наша цель, для которой мы выбираем интервью, это понять как устроена спонтанная речь или понять, как происходит коммуникация при диалоге? Что из этого приоритетнее?",0.08739142857142858,0.30587,0.44355
92,Завтра у 202 не стоит семинар в расписании,0.0343,0.3087,0.0
93,"Хм, в РУЗовском расписании Ольги Николаевны вы стоите на 5-ой паре <br><a href=""https://t.me/olesar"">@olesar</a>",0.018158823529411762,0.3087,0.0
94,"Разумно здесь обсудить завтрашнее расписание, потому что в РУЗ у ваших групп оно по-прежнему не отображается. А мне не хочется снова приезжать просто так:)",0.05812592592592593,0.196175,0.0
95,Группа 201 - 13:00 (3 пара). Подтверждаете?,0.07436,0.37179999999999996,0.6667
96,Группа 202 - 16.20 (5 пара). Подтвержаете?,0.00699090909090909,0.0769,0.0
97,Подтверждаем,0.33335,0.6667,0.6667
98,Группа 203 - 18.10 (6 пара),0.0096125,0.0769,0.0
99,подтверждаем,0.33335,0.6667,0.6667
100,подтверждаем,0.33335,0.6667,0.6667
101,"Есть ли еще у кого-то в расписании другие мои пары, про которые я  не знаю?",0.09973157894736842,0.47372499999999995,0.6905
102,"Скажите пожалуйста, если в моем видео я выбрала не один 5+минутный фрагмент, а три фрагмента где-то по две минуты, такое видео не подойдет и надо искать другое, или можно оставить?",0.060866666666666666,0.24346666666666666,0.0
103,"добрый вечер! в задании написано, что лучше стараться обойтись без этого, но если это будет единичная такая запись во всем корпусе, то ничего страшного",0.09057586206896552,0.29185555555555553,0.525
104,"а ее нужно будет как-то монтировать (с этим проблем нет, просто чтоб знать)",-0.028966666666666665,-0.14483333333333334,-0.9444
105,"нет, все строится на временных метках, которые привязаны к таймингу на ютьюбе",0.02605333333333333,0.1954,0.0
106,"понятно, спасибо",0.0,0.0,0.0
107,"Добрый день, у группы 203 офис предлагает перенести занятия по Линг данным сегодня с 6 пары на 4-ю (13:20), ауд. 509. Есть возражения?",0.08023793103448276,0.23269,0.8059000000000001
108,Четвёртой парой у нас французский,0.0,0.0,0.0
109,"Хорошо, остаемся на 6-ой",0.002766666666666667,0.0166,0.0
110,А тогда 202 группа хочет на 4ю пару вместо 5-ой?,0.042741666666666664,0.25645,0.0
111,да,0.0,0.0,0.0
112,да,0.0,0.0,0.0
113,"202 в 14:40 в 509, офис подтвердил",0.06893333333333333,0.3102,0.0
114,203 в 18.10 в 401 ауд,0.0,0.0,0.0
115,"Добрый день. Можно ли использовать видео, где задаёт вопросы человек за кадром (то есть нет мимики и жестов), а отвечают два человека (сидят рядом и взаимодействуют)",0.12025,0.4008333333333333,1.0
116,"Если вопросы задаются голосом, то да. В метаданных укажите полилог",0.026984615384615385,0.11693333333333333,0.0
117,спасибо,0.0,0.0,0.0
118,"там же написано, что тип коммуникации и длину разметки не нужно заполнять",0.02972857142857143,0.10405,0.0
119,"Это если у вас стандартный диалог, то тип в табличке так и будет указан. А здесь поменяйте",0.06977,0.23256666666666667,0.0
120,"Дорогие все, сегодняшние семинары будут проходить на Басманной. Однако, учитывая ситуацию, если вы не имеете физической возможности быть на Басманной или если вам нужно показать свой экран преподавателю, вот ссылка на Zoom  (на все пары)<br><a href=""https://zoom.us/j/93352941438?pwd=aDk5SnV3aWR5a0V2eFRUR0RZdXFtdz09"">https://zoom.us/j/93352941438?pwd=aDk5SnV3aWR5a0V2eFRUR0RZdXFtdz09</a><br><br>Meeting ID: 933 5294 1438<br>Passcode: 859919",0.0855625,0.3685769230769231,0.7797666666666667
121,"Извините, а пара ведь в 13:00 должна была начаться, да?<br>или в рузе что-то неправильно написано?",0.08981428571428571,0.47152499999999997,1.0
122,"Ребят, а можно пожалуйста ссылки на ассистентов кинуть,  не вижу здесь сообщение с этим",0.10607222222222222,0.31821666666666665,0.62435
123,"Я один из ассистентов, и еще Катя <a href=""https://t.me/kattynatty"">@kattynatty</a>",0.06884166666666666,0.27536666666666665,0.0
124,"Оу, спасибо большое",0.053380000000000004,0.2669,0.0
125,"<a href=""https://t.me/George1337"">@George1337</a> Аня Яблонская",0.0,0.0,0.0
126,"Дорогие студенты!<br>Если кто-то из вас еще не заполнил <a href=""https://docs.google.com/forms/d/e/1FAIpQLSfPXxTbTBxzONsXdGUGrK3idDYuH6Vi0LeOYoCncCRJhbsatw/viewform"">вот эту анкету</a>, то очень просим сделать это как можно скорее, чтобы мы могли найти ваш гитхаб и проверить работы.",0.09553513513513513,0.35348,0.6779999999999999
127,"<a href=""https://t.me/olesar"">@olesar</a> Ольга Николаевна, здравствуйте, подскажите, пожалуйста, можно ли взять интервью с носителем русского языка, но билингвом?",0.063736,0.39835000000000004,0.6328
128,"Вроде как говорили, что можно, но надо, чтобы человек говорил именно на русском",0.09814117647058823,0.41709999999999997,0.0
129,"Обрый день! Билингвы бывают разные. Если русский у него как родной и говорит по-русски, то можно",0.06494,0.3247,0.0
130,"Да, я это имела в виду, спасибо)",0.04381,0.14603333333333332,0.0
131,"Добрый вечер! Скажите пожалуйста, если интервью прерывается кадрами из фильма (само интервью целостное, фрагменты фильма вставлены для иллюстрации), что можно с этим сделать? (Оформление в таблице, выполнение задания). Или такое видео брать нельзя?",0.05873809523809524,0.16446666666666668,0.008599999999999997
132,"Подскажите, пожалуйста, стоит писать &quot;мгм&quot; как реплики?",0.09336153846153847,0.4045666666666667,0.6328
133,да,0.0,0.0,0.0
134,"Добрый вечер, если у вас получается два фрагмента для разметки, то в таблицу впишите, пожалуйста, два комплекта строчек со своим временем начала разметки в каждом (т.е. метаинформация про говорящих дублируется). Если таких фрагментов получается больше двух, не берите, пожалуйста",0.09926938775510204,0.40535,0.8947333333333333
135,Спасибо!,0.0,0.0,0.0
136,"Дорогие студенты! <br>В <a href=""https://docs.google.com/spreadsheets/d/15elyrE9USSrqbFAdlrMVTICUtFA9d7BYM4UWiaRYNE8/edit#gid=0"">таблице</a> появились оценки за домашние работы.",0.138425,0.3691333333333333,0.70025
137,Доброе утро!<br>А что значит &quot;не нашла ссылку на гитхаб&quot;? Что делать в этом случае?,0.11881428571428572,0.49902,1.0
138,"Добрый день, если анкету заполнили, а, обкачивая ваши репозитории, мы ничего там не нашли, то напишите Кате и Ане",0.032799999999999996,0.16399999999999998,0.16285
139,"Хорошо, спасибо",0.0,0.0,0.0
140,Добрый день! Оценки за дз окончательные?,0.1855,0.417375,1.0
141,"Добрый день, Юлия, оценки за это задание окончательные, комментарии помогут вам сделать лучше следующие задания",0.21336315789473684,0.36853636363636366,1.0
142,"Ясно, спасибо!",0.0,0.0,0.0
143,А сколько будет домашних заданий в этом модуле?,0.1203,0.401,0.6556
144,"Добрый день, Екатерина, еще одна домашка. Но накоп будет считаться по двум модулям, сейчас жду подтверждения от офиса на этот счет.",0.10115185185185185,0.2482818181818182,0.8663000000000001
145,а где надо было писать информацию об интервьюере? там разве есть такой столбик в таблице?...,0.08147142857142857,0.34218,0.0
146,"там же, где и говорящий, на каждого человека, который говорит надо было заполнять отдельную строку с информацией; в примерах заполнено по две строки — одна для интервьюера, вторая для интервьюируемого",0.04700571428571428,0.2742,0.0
147,"Дорогие кураторы, добрый вечер!<br>Если знаете, подскажите, пожалуйста, когда у группы БКЛ203 дедлайн по домашке: сегодня в 22:00 или завтра в то же время?",0.11333870967741935,0.5855833333333333,0.76705
148,"Возникли недопонимая, тк на первых занятиях говорили, что вообще дедлайны ставятся накануне следующего семинара",0.023782352941176466,0.10107499999999998,-0.02460000000000001
149,"Добрый день! На прошлом семинаре я уточняла, что в пятницу 22:00",0.18025714285714287,0.50472,0.8
150,"Хорошо, спасибо!",0.0,0.0,0.0
151,А дедлайн по разметке интервью в воскресенье или вечером перед семинаром? 201,0.04871428571428571,0.22733333333333333,0.0
152,"<strong>Важная информация</strong> офис подтвердил, что экзамен по Лингвистическим данным перенесён на декабрь, будет в сессию 2 модуля. Накоп будет считаться по двум модулям. Темой экзамена будет групповой проект по анализу корпусных данных, задание обсудим в начале декабря",0.07645581395348837,0.15655238095238094,0.0
153,"Соня, я жду звонка от Яны из офиса, смогу тогда ответить",0.09851428571428572,0.22986666666666666,0.7405
154,Спасибо),0.0,0.0,0.0
155,"Здравствуйте, скажите пожалуйста куда нужно было послать ссылку на гитхаб-страницу, потому что я заполняла и опрос и таблицу, но в графе домашнее задание 2 указано, что нет моей страницы, возможно я по невнимательности что-то не заполнила?",0.04537441860465116,0.16259166666666666,-0.17220000000000002
156,"Добрый день, попробуйте заполнить еще раз форму и продублируйте ссылку на гитхаб в лс мне или <a href=""https://t.me/George1337"">@George1337</a>",0.11227142857142856,0.33681428571428573,1.0
157,Здравствуйте! А сколько времени интервью размечать? 201 группа,0.011127272727272727,0.0612,0.0
158,5 минут вроде говорили,0.07404,0.3702,0.0
159,"Здравствуйте, внизу страницы курса есть список домашек, посмотрите там по ссылке. (Тизер: не меньше 5, не больше 10)",0.06425652173913043,0.21112857142857142,0.0
160,"А будет страшно, если в кадре курится сигарета во время интервью?",0.03622857142857143,0.16906666666666667,0.0
161,"Не страшно, я думаю",0.1791,0.5373,0.6985
162,"Подскажите, информации еще нет..?",0.11632222222222223,0.52345,0.6328
163,"Извините за позднее предупреждение,  завтрашней пары в 9.30 не будет, её перенесли на следующую неделю",0.07733,0.22094285714285714,1.0
164,"уточняю)<br>204<br>на данный момент от нас требуется только дз html, у которого дедлайн в это воскресенье, так?",0.04140909090909091,0.30366666666666664,0.0
165,"Я собираю брать интервью из выпуска Вечернего Урганта, при разметке дальнейшей можно же не учитывать смех, аплодисменты и тп зала?",0.19094583333333334,0.3525153846153846,1.0
166,"У меня для 204 записан дедлайн аж вторник 13, поправьте меня, если это не так",0.08660555555555555,0.389725,0.6203
167,"Да, вроде вторник) 23:59 же или 10 вечера, как было в прошлый раз?",0.031058823529411767,0.264,0.0
168,22:00 - это остаётся неизменным,0.002766666666666667,0.0166,0.0
169,"201 группа, вам перенесли семинар на вторник в Зум из-за конфликтов в расписании, я предлагаю оставить срок домашки до вторника же 22:00. Согласны?",0.01720714285714286,0.060225,-0.1673
170,"Да, хорошо",0.0,0.0,0.0
171,"Здравствуйте,<br>Если у меня есть вопросы по определению частей речи, мне лучше их все и каждый сюда задавать, или на семинаре?",0.12037307692307692,0.3477444444444444,1.0
172,Отвечу в личку,0.033125,0.06625,0.0
173,Определением частей речи мы будем заниматься на следующем семинаре,0.15534,0.2589,0.0
174,"Подскажите, если говорящий человек ошибся в составлении предложения («мне очень много мучает вопросов» вместе «меня мучает»), это так и вписывать или это считается тоже речевым как «што»?",0.0261,0.08091,-0.131625
175,"Добрый день, очень хороший вопрос, спасибо! Все словоформы пишутся именно в тех падежах, как их произносит говорящий. Мена винительного и дательного падежа - характерная черта спонтанной речи (и, кстати, есть другие славянские языки, где это ошибкой не будет)",0.055338297872340424,0.21674166666666667,0.0983
176,"То есть так и записывать, мне?",0.09952222222222222,0.44784999999999997,0.0
177,"И еще один вопрос: говорящий человек очень конкретно в разных ситуациях говорит «что», «чё» и «шо», это очень хорошо слышится — их все выделять всё равно как «что»?",0.026359374999999997,0.21087499999999998,0.0
178,"Добрый день! Подскажите, пожалуйста: если в интервью появляется третий человек, который не говорит больше 7ми слов подряд, но к нему так или иначе обращается говорящий, и он появляется в кадре, включать ли его в разметку?",0.08935581395348838,0.32019166666666665,0.8164
179,"Если это местоимение, то все как &quot;что&quot; - так пользователю будет легче найти все варианты. Если частица, например, слово-предложение Шо?!, то на ваше усмотрение",0.058729411764705884,0.3328,0.5915
180,"Вообще на слух это просто звучит как что-то преднамеренное, а не случайное",0.05101428571428571,0.23806666666666665,0.5516
181,"Добрый день, если вы собираетесь размечать жесты этого третьего человека, то добавьте. Иначе не надо",0.09707368421052631,0.36888,1.0
182,"Ну, у вас есть возможность трактовать это как языковую маску (например, имитация одесского говора). Просто помните, что найти в корпусе много разных вариантов сложнее, чем один",0.07828125,0.313125,0.7422500000000001
183,<pre>мне</pre>,0.0,0.0,0.0
184,"Нужно ли прописывать смешки? Если да, то как речь или как жест?",0.0441875,0.23566666666666666,0.0
185,"Добрый день, скажите пожалуйста, как отмечать у человека заикания (их довольно много)?",0.10111875000000001,0.23112857142857143,0.15155000000000002
186,к... как за... заикания,-0.06335454545454546,-0.6969,-0.6969
187,"Прямо там где фразы, или отдельные слова?",0.00172,0.0172,0.0
188,"Прямо там, где фразы",0.0,0.0,0.0
189,"Хорошо, спасибо",0.0,0.0,0.0
190,"На уровне слов должны получиться токены: к..., как, за..., заикания",0.013185000000000002,0.06592500000000001,0.08295000000000002
191,Поняла,0.40115,0.8023,0.8023
192,На уровне токенов должны быть многоточия?,0.066,0.264,0.0
193,У заиканий,-0.23229999999999998,-0.6969,-0.6969
194,"Да, иначе мы не отличим их от предлогов",0.023719999999999998,0.1186,0.0
195,"А если нет информации про интервьюера нет, какой ему делать ник?",0.05467857142857143,0.38275000000000003,0.0
196,"Условный, например, латинскими xxx",0.014285714285714287,0.1,0.0
197,Если говорящий берет вдох посередине предложения мы разбиваем реплику на две или оставляем одну?,0.004906249999999997,0.013083333333333327,-0.17835
198,"Говорящие могут брать вдох посередине реплики. Оставьте одну, пожалуйста, если в остальном вам интуитивно кажется, что это одна реплика",0.07957916666666666,0.2728428571428571,0.5845
199,"а насколько длинной можно делать фразу? если человек говорит несколько предложений без длинных пауз, можно их написать в одном окошке?",0.1159375,0.231875,0.0
200,"Добрый день, лучше несколько",0.34855,0.522825,1.0
201,спасибо,0.0,0.0,0.0
202,"Простите, пожалуйста, что у меня сегодня столько вопросов, но я надеюсь это последние 2: во-первых, можно ли в елане как-то поменять кавычки с лапок на елочки (у меня респондент гпередает прямую речь, внутри которой слово в кавычках и их хочется как-то разделить), и во-вторых, есть ли принципиальная разница в количестве &quot;заикающихся&quot; символов в &quot;заикающемся слове&quot; (то есть респондент очень сильно заикается и я хочу показать, что иногда он говорит: &quot;с...сказать&quot;, а иногда - &quot;ссссс...сказать&quot;, могу ли я так сделать, или все заикания только тремя буквами перед многоточием: ссс...сказать)?",0.06049322033898305,0.23026451612903226,0.06538750000000002
203,"1) можно использовать любые кавычки, используйте копипейст, если не знаете, как их вставить с клавиатуры",0.0745,0.353875,0.6905
204,"2) я бы не использовала удлинение типа сссссс... потому что а) задача корпуса все же иная и б) трудно унифицировать разметку разных студентов, кто каким количеством букв обозначает растянутые шипящие",0.02254,0.1127,0.0
205,"я поняла, спасибо",0.23568,0.5892,0.8023
206,"извините, если этот вопрос уже задавали, а как разметить места, где говорящий тянет &quot;э&quot;, когда думает, что сказать?",0.08222222222222222,0.444,0.8492500000000001
207,эээ,0.0,0.0,0.0
208,А пропускать такие &quot;ээээ&quot; нельзя?,-0.13546666666666668,-0.6096,-0.9828
209,Никак нельзя:),0.0,0.0,0.0
210,"добрый вечер, надо/можно ли как-то расшифровать вдохи/выдохи говорящего? (когда это слышно)",0.07397857142857144,0.51785,1.0
211,и как их записывать? *выдох*?,0.0,0.0,0.0
212,"ой, и что делать, если, например, люди перебивают друг друга, и непонятно, что один из них говорт? можно написать что-то вроде *неразборчиво*? или просто пропустить?",0.06913428571428572,0.24197,0.36110000000000003
213,Об этом написано на сайте в конспекте дз3,0.05637777777777778,0.25370000000000004,0.0
214,"Вроде нет, но лучше давайте подождём уточнения <a href=""https://t.me/olesar"">@olesar</a>",0.16173333333333334,0.4852,1.0
215,"Вдохи не нужно, в том числе шумные",0.0,0.0,0.0
216,Про это точно написано в домашке:),0.01937142857142857,0.1356,0.0
217,"хорошо, спасибо!",0.0,0.0,0.0
218,можете ещё раз пожалуйста повторить чем различаются / и // в разметке?,0.07580714285714285,0.21226,0.6111
219,"я еще хочу спросить: можно каким-то образом выделить если человек шепотом говорит про себя, но при этом слышно, что говорит?",0.1067125,0.36587142857142857,0.0
220,"// соответствует концу предложения, / - запятой",0.08311111111111111,0.187,0.0
221,"Нет, это выделять не нужно",0.0,0.0,0.0
222,спасибо большое!,0.066725,0.2669,0.0
223,а если человек делает паузы между словами но пунктуационно это не будет выделяться запятыми то ставить /?<br>и обратный вопрос <br>если запятыми на письме выделяется но человек не делает в речи пауз в том месте?,0.10080256410256411,0.28080714285714287,0.0
224,"и что делать, если на письме должно стоять тире? (в речи не особо выделяется)",0.0420235294117647,0.35719999999999996,0.0
225,а если человек вставляет цитату вроде «ну я ей пишу: «Что ты такая грустная?» нужно это выделять?,-0.00456,-0.0304,-0.8571
